Model,Accuracy,Precision,Recall
Logistic Regression,0.563573883161512,0.5714285714285714,0.5906040268456376
Random Forest,0.5463917525773195,0.5578231292517006,0.5503355704697986
KNN,0.5326460481099656,0.5454545454545454,0.5234899328859061
Baseline (Always Up),0.5120274914089347,0.5120274914089347,1.0
